GO ID	GO name	Genes in GO	Children of GO	Parents of GO
GO:0006810	transport	cysZ,sugE,sstT,arnE,nhaA,emrY,ccmD,rbbA,metQ,cynX,yejE,pstA,ddpC,setB,glvB,yhdW,yadI,uacT,yghD,ygcS,yggR,thiQ,glcA,fruA,fepD,dppA,hmp,trkH,livF,znuC,tcyN,potE,modB,pgaA,yeeA,nadR,ycaM,artI,ompF,afuC,zitB,gltS,dcuD,yihP,ssuC,kdpA,ycjP,copA,lolD,phnD,atoE,yhcD,hofQ,thiP,lsrA,lplT,frvA,mdtE,tyrP,rhtB,crr,phoE,cirA,gatA,fhuB,brnQ,yhdX,trkG,garP,bcr,yjhF,mscS,livG,abgT,citT,tolC,mdtL,malE,tdcC,arnF,ybiO,gudP,ydaN,corA,sapF,gspE,yidE,ompN,ydiM,proY,livH,yhjX,ptsP,adeP,hofC,clcB,blc,oppB,dppF,dsdX,mdlA,atpE,ytfT,ssuB,mglB,dcuB,atpD,btuF,pstS,fepE,artJ,zupT,uhpT,nuoK,treB,gspD,motA,ulaA,frwC,rhtC,secD,dauA,acrB,arsB,mglA,gsiA,znuB,phnC,yadG,potD,cusC,ybgQ,atpI,alsB,lolE,glpC,elfC,yqiG,yjcE,chbC,metI,yhdZ,ydhP,hisQ,ynfM,secY,trkA,frvB,macB,gspG,fhuC,yfbS,yhhJ,exuT,yegT,sbp,hyaC,yadH,yihO,yidC,acrD,tehA,srlE,rutG,ybaL,gspF,srlB,yghF,glnQ,mntH,ydeT,pstC,ssuA,ynaI,acrF,dtpA,wzxC,mmuP,lptF,codB,alsC,fryB,gntP,nfrB,mhpT,nikD,ugpC,fetB,ytfR,phoU,oppC,ydhK,potC,ydgI,uup,gspI,ompC,ftsW,ulaC,pitB,sufE,fecB,secA,glpT,iscS,fliH,msbA,cusB,ynjD,yfaV,ybaT,plaP,yeeO,rfbX,satP,nupC,dppD,hsrA,ybdG,fecA,fepA,htrE,lgoT,fhuD,narK,melB,yiaM,ydfJ,ulaB,ghxQ,murJ,rcnA,frvR,yihN,lacY,malX,proP,atpA,kup,ycjN,osmF,sdaC,malM,setA,ddpA,ydeA,tnaB,glnP,ptsG,sapA,potA,kdgT,proV,putP,pheP,tolA,leuE,cysA,kdpF,frlA,ybhI,modA,phoB,gntU,cysW,yphD,shiA,mscM,yaaU,mdtG,frwD,tolQ,lldP,mdtN,nikE,ynjC,malG,tolB,lolB,potB,yhjD,ybeX,narU,fucP,fliI,oppA,mdtD,fhuE,modC,dcuC,araH,gspO,kch,ygaZ,afuB,yjhB,hisP,yojI,aaeA,fecR,ugpB,exbB,ddpF,xylH,oppD,fecC,metN,mdtP,cusA,acrE,yfdG,ugpA,secB,ytfQ,entS,hisJ,nepI,sapB,kefB,nanT,rhtA,mdtO,yidK,bglH,fepC,yiaN,ascF,alsA,chbB,yiaO,fecD,nuoB,yheS,lsrD,ybhF,chiP,livJ,cysU,yfgO,actP,pitA,manX,ampG,yeaV,btuD,yehY,xanP,mlaE,nupX,ybhS,cydC,ttdT,galP,wza,eutH,ompL,gltJ,alaE,focA,lolC,nagE,mtlA,yhjE,gsiB,ptsH,tolR,ydjE,rbsA,sgcB,ccmA,ghxP,gspH,oppF,gspC,ompA,cysP,ycaD,artP,dppB,secG,yhbE,dtpD,gspA,potI,acrZ,mngA,ybjL,clcA,malF,atpC,caiT,phnK,tusA,yfdV,ydcV,yraJ,yddA,betT,araG,gfcE,proX,fadL,rhaT,yjeM,phoR,agaD,kgtP,mdtK,cmtA,gspK,ptsN,fryA,uraA,xylG,nimT,gsiD,yhaO,ybbY,yijE,yphE,uhpB,yqeG,dgoT,atpH,yncD,emrE,ybiR,xylF,fieF,pnuC,nuoC,mdtI,yejF,yphF,modF,fryC,livK,nikC,sgcC,ybhR,gltL,psuT,agaV,tcyJ,mdtF,fiu,pstB,sgcA,fecE,glpF,lamB,atpB,yfdC,yeiB,argO,fepG,fepB,lptG,sbmA,ybbW,ccmB,fecI,cadB,sufC,chbA,mscK,fes,ydjK,yagG,emrA,macA,cydD,modE,mlaF,bglF,tatE,yehX,eamA,yaaJ,murP,fre,flhB,yddB,tusE,feoA,manZ,xylE,gltI,nmpC,dctA,ptsA,rsxD,proW,ddpD,tauC,gabP,cycA,glnH,flhA,artQ,ybbA,dcuA,chaA,lysO,potH,yhiD,sfmD,cmtB,yicL,gspJ,uhpA,mdfA,araF,yicJ,kdpC,gspM,mtr,tcyL,lptA,atpF,mdtB,gadC,fimD,aroP,fhuA,nikB,hisM,lolA,mdtM,xapB,emrD,dppC,dtpB,ydcS,mntP,btuB,nupG,torT,emrB,uidC,agaB,yjfF,eamB,sgrT,lsrC,yajR,ybbP,gsiC,adeQ,ptsI,frwB,tqsA,araE,tauB,panF,agaW,ydcU,ansP,srlA,acrA,potG,argT,mscL,feoB,rarD,rbsC,gntT,ccmC,kefC,lysP,tatB,yedA,adiC,gltK,gatC,mlaD,malK,exbD,livM,yhdY,znuA,yddG,yejB,ycjV,fetA,sapC,tusD,emrK,yhjV,nirC,kdpB,puuP,yebQ,fliJ,tbpA,yehB,uhpC,ydhC,mdtC,aqpZ,gatB,aaeB,tauA,lptB,yfeO,tsx,ddpB,yehW,fdhD,btuE,secE,hcaT,rbsB,cvrA,glvC,nuoN,focB,nuoA,atpG,ygbN,gspL,nikA,fruB,setC,tatA,ygiS,gltP,ydiN,mdtJ,fliP,tcyP,btuC,yifK,crcB,xanQ,secF,mdlB,mlaB,tatC,amtB,idnT,sapD,tonB,ycjO,mppA,wzxE,mglC,ygjI,ybiT,manY,ugpE,ydcT,nhaB,hofB,agaC,mdtH,ompG,mdtA,nanC,potF,dtpC,artM,	GO:0046907,GO:0050892,GO:0016192,GO:0006839,GO:0071702,GO:1901998,GO:0098657,GO:0010496,GO:1902067,GO:0099504,GO:0044766,GO:0055085,GO:0006858,GO:0006811,GO:0007034,GO:0043574,GO:1901965,GO:0071705,GO:0044765,	GO:0051234,
GO:0046942	carboxylic acid transport	aaeB,nanC,aaeA,	GO:0015826,GO:0015819,GO:0015824,GO:0015882,GO:0042968,GO:0015812,GO:0015807,GO:0015817,GO:0015821,GO:0042940,GO:0015739,GO:0071715,GO:0006868,GO:0032328,GO:0006842,GO:0015823,GO:0006867,GO:0015829,GO:0015718,GO:0015822,GO:0051938,GO:0015809,GO:0006835,GO:0015816,GO:0042935,GO:0015820,	GO:0015711,
GO:0055085	transmembrane transport	yhhJ,sapB,nepI,sugE,sstT,arnE,exuT,yicJ,nanT,nhaA,fsr,emrY,yidK,dld,yihO,tehA,rutG,cynX,fimD,aroP,chiP,ddpC,mdtM,setB,mntH,uacT,actP,pstC,emrD,dppC,ynaI,ygcS,ampG,thiQ,mmuP,btuB,lptF,codB,emrB,xanP,uidC,ybhS,cydC,yfcJ,ttdT,yajR,galP,mhpT,ydeE,wza,ompL,yqcE,adeQ,ugpC,dppA,tqsA,araE,trkH,yhjE,panF,gsiB,oppC,ydjE,ompC,ansP,potG,acrA,ghxP,ycaD,dppB,pgaA,glpT,lysP,clcA,caiT,yedA,yghB,yfdV,msbA,cusB,yraJ,yfaV,yddA,malK,hsrA,afuC,yqjA,ybdG,gfcE,fepA,gltS,fadL,yihP,rhaT,htrE,kgtP,ycjP,lgoT,narK,melB,phnD,yhcD,ydfJ,ghxQ,ravA,yejB,tsgA,yihN,ycjV,uraA,lplT,lacY,sapC,nimT,mdtE,ybbY,yijE,proP,emrK,phoE,yhhS,setA,ddpA,ydeA,dgoT,emrE,ybiR,puuP,yebQ,sapA,tbpA,potA,trkG,yehB,uhpC,bcr,garP,yejF,citT,mscS,ydhC,ydcO,tolC,mdtL,aqpZ,yibH,ybhR,putP,pheP,arnF,cysA,ybiO,gudP,ydaN,lptB,corA,yfeO,tsx,ddpB,ybhI,lamB,ybjJ,ydiM,proY,lptG,hcaT,yhjX,sbmA,ybbW,adeP,shiA,clcB,mscM,ygbN,yaaU,mdtG,yrbG,nikA,mdlA,mscK,setC,ydjK,yagG,emrA,macA,cydD,modE,ygiS,gltP,ydiN,eamA,zupT,ydhJ,yifK,uhpT,dsbD,yaaJ,fucP,narU,yddL,xanQ,mdlB,mdtD,oppA,dauA,xylE,modC,nmpC,ygaZ,znuB,yjhB,dctA,yojI,ybgQ,ygaH,mppA,elfC,yjcE,gabP,cycA,aaeA,yejA,ydhP,ydcT,nhaB,chaA,mdtH,ynfM,ompG,mdtA,sfmD,nanC,acrE,yiaV,araJ,yfbS,mdfA,	GO:1901962,GO:1902047,GO:0035436,GO:0034220,GO:0090662,GO:0090539,GO:0035461,GO:1902599,GO:0071918,GO:0035348,GO:1902603,GO:0072531,GO:0034219,GO:1903825,GO:0098838,GO:1990542,GO:0044718,GO:1903088,GO:1902598,GO:0035382,GO:0006855,GO:0034486,GO:1902418,GO:0035378,GO:0071806,GO:0035351,GO:1902616,GO:0071994,GO:0035672,GO:1903830,GO:0072530,GO:0080170,GO:0098739,GO:1901679,GO:1901642,	GO:0006810,
GO:0006351	transcription, DNA-templated	nhaR,flhD,cynR,yqjI,rpsD,nikR,gcvR,araC,csiR,yiaG,ygaV,fliA,rcsB,dinJ,glpR,yiaU,torR,envR,ebgR,argR,yegW,mhpR,mcbR,slyA,rpoS,nusA,norR,yneL,ydhB,ada,dicC,tdcR,rpoZ,uvrY,yjhU,rpoB,mgrB,ycaN,zur,chaB,oxyR,cspI,dcuR,yijO,frlR,cspC,dmlR,bdcR,relE,nadR,kdpE,yhjB,rplD,idnR,galS,rcdA,ykgA,dpiA,mqsR,pgrR,pdhR,yfaX,kdgR,greA,glrR,fucR,ihfB,yihL,sgcR,hupA,bglG,hns,lgoR,gntR,yqhC,rseA,rho,exuR,agaR,mntR,perR,rclR,appY,rpiR,puuR,ygfI,yidP,sfsB,yeeY,hepA,ydcR,lrp,ascG,uidR,yebC,malI,lysR,arcA,ybeF,cspG,yhaJ,ilvY,paaX,arcB,cspE,ypdC,leuO,ydfT,rstA,nusB,yefM,envY,rsd,dosP,torI,rcsA,betI,narL,fecI,ydfH,ynfL,comR,trpR,cusR,pcnB,cadC,yjhI,yghO,mqsA,yfiE,yfhH,modE,rpoC,ompR,marA,malY,ygeH,rpoH,ybiH,uxuR,dosC,yhjC,rutR,bglJ,rhaS,lsrR,fhlA,cysB,prpR,yfjR,yebK,ecpR,gcvA,rhaR,deoR,cdaR,creB,gadW,hupB,nusG,yiaJ,ydiP,yehT,yddM,dnaA,ttdR,rseB,uhpA,lacI,bluR,treR,yihW,fimE,ymfK,ybaQ,hycA,nsrR,nagC,dgoR,yafQ,hyfR,abgR,prlF,ytfH,yieP,pepA,baeR,basR,hdfR,dicA,lexA,allR,yoeB,rtcR,cueR,dhaR,yahB,ypdB,atoC,cspH,ybdO,fimB,galR,ogrK,rfaH,allS,acrR,lldR,yaiW,yafC,cra,cspA,glnG,arsR,dsdC,gadE,fimZ,narP,yeiL,qseB,yfeR,ybhD,cbl,pspF,yjiR,fnr,eutR,putA,mlrA,rpoD,ycjW,metJ,malT,rcnR,ybaO,yhaV,frmR,caiF,mlc,pspC,nrdR,frvR,nac,nemR,purR,yeiE,lrhA,soxS,hypT,phnF,bolA,yjdC,iscR,ygeV,zraR,hcaR,yagI,mtlR,gyrA,sgrR,chbR,higA,fur,ulaR,birA,fis,ybcM,csgD,yafN,fabR,tdcA,ydeO,aaeR,yedW,rbsR,xylR,crp,zntR,mngR,yciT,phoB,metR,glnB,flgM,crl,yneJ,dctR,ydjF,fliT,ygbI,yjjQ,gadX,hicB,murR,nimR,mazE,cytR,sxy,yaiV,flhC,gutM,melR,racR,sutR,barA,yidZ,sdiA,adiY,marR,relB,greB,evgA,rpoE,cspB,ydcI,cpxR,hha,asnC,soxR,rpoA,ybcQ,nanR,ydiV,hipB,glcC,yqeI,iclR,yeeN,alpA,mraZ,argP,ygiV,xapR,srlR,glnK,gyrB,fadR,cspF,phoP,yidL,ghoS,chpS,ihfA,mprA,mazF,feaR,tyrR,	GO:0009299,GO:0006360,GO:0098781,GO:0009300,GO:0001060,GO:0006366,GO:0006390,GO:0039695,GO:0001121,GO:0097393,GO:0001059,GO:0042793,GO:0006383,	GO:0034645,GO:0097659,
GO:0006352	DNA-templated transcription, initiation	yjhU,rpoE,aaeR,rpoS,rpoN,rpoH,rpoD,hyfR,fliA,fecI,greB,	GO:0001123,GO:0006361,GO:0006391,GO:0006384,GO:0006367,	GO:0032774,
GO:0006355	regulation of transcription, DNA-templated	nhaR,flhD,cynR,yqjI,rpsD,nikR,gcvR,araC,csiR,yiaG,ygaV,fliA,rcsB,seqA,dinJ,glpR,yiaU,umuD,torR,envR,ebgR,argR,yegW,mhpR,mcbR,slyA,rpoS,nusA,norR,yneL,ydhB,ada,dicC,tdcR,uvrY,yjhU,mgrB,ycaN,zur,chaB,oxyR,cspI,dcuR,yijO,frlR,cspC,dmlR,bdcR,ybfE,relE,nadR,kdpE,yhjB,rplD,idnR,galS,rcdA,ykgA,dpiA,mqsR,pgrR,pdhR,yfaX,phoR,kdgR,greA,glrR,fucR,ihfB,yihL,sgcR,bglG,hns,lgoR,gntR,yqhC,rseA,rho,exuR,agaR,mntR,perR,rclR,appY,rpiR,puuR,ygfI,yidP,sfsB,yeeY,hepA,ydcR,lrp,ascG,uidR,yebC,malI,lysR,arcA,ybeF,cspG,yhaJ,ilvY,paaX,arcB,glnL,cspE,ypdC,yacG,leuO,ydfT,rstA,nusB,yefM,envY,rsd,dosP,torI,rcsA,betI,narL,fecI,cspD,ydfH,ynfL,comR,trpR,yiiE,cusR,cadC,yjhI,yhfY,yghO,mqsA,yfiE,yfhH,modE,ompR,marA,malY,ygeH,rpoH,ybiH,uxuR,dosC,yhjC,rutR,bglJ,rhaS,lsrR,fhlA,cysB,prpR,yfjR,yebK,ecpR,gcvA,rpoN,rhaR,deoR,cdaR,creB,gadW,rcsC,nusG,yiaJ,ydiP,yehT,yddM,dnaA,ttdR,rseB,uhpA,lacI,bluR,treR,yihW,fimE,ymfK,ybaQ,hycA,nsrR,nagC,dgoR,yafQ,hyfR,abgR,prlF,ytfH,yieP,atoS,baeR,basR,hdfR,dicA,lexA,allR,yoeB,rtcR,cueR,dhaR,yahB,ypdB,atoC,cspH,ybdO,fimB,galR,ogrK,mfd,rfaH,allS,acrR,lldR,yafC,cra,cspA,glnG,arsR,dsdC,gadE,fimZ,narP,yeiL,qseB,yfeR,ybhD,cbl,pspF,yjiR,fnr,eutR,putA,mlrA,rpoD,ycjW,metJ,csiE,malT,rcnR,ybaO,yhaV,frmR,caiF,mlc,pspC,nrdR,yqeH,frvR,nac,nemR,purR,yeiE,ygcP,lrhA,soxS,hypT,phnF,bolA,yjdC,iscR,ygeV,zraR,hcaR,yagI,mtlR,sgrR,rsmB,chbR,dcuS,fur,higA,ulaR,birA,pdeL,fis,ybcM,csgD,yafN,fabR,tdcA,ydeO,aaeR,yedW,rbsR,xylR,crp,zntR,mngR,yciT,phoB,metR,stpA,glnB,flgM,crl,yneJ,dctR,ydjF,fliT,ygbI,yjjQ,gadX,hicB,murR,nimR,mazE,cytR,sxy,flhC,gutM,melR,pheM,racR,sutR,barA,hfq,yidZ,dpiB,sdiA,adiY,marR,relB,greB,evgA,rpoE,yfeD,cspB,ydcI,cpxR,hha,asnC,soxR,ybcQ,nanR,ydiV,glcC,hipB,pspB,rob,yqeI,iclR,yeeN,alpA,mraZ,argP,ygiV,xapR,srlR,glnK,fadR,cspF,phoP,yidL,ghoS,chpS,ihfA,mprA,mazF,feaR,tyrR,	GO:2000142,GO:0045893,GO:0090293,GO:0051037,GO:1904499,GO:0006357,GO:0045896,GO:0000083,GO:1904279,GO:0019056,GO:0031935,GO:0031554,GO:0045892,GO:0006359,GO:0009373,GO:0060194,GO:0046015,GO:0000409,GO:0051090,GO:0006356,GO:1903108,GO:0044324,GO:0032784,GO:0043620,GO:0070028,GO:0045990,GO:0000117,GO:0007532,	GO:1903506,GO:0010468,GO:2000112,
GO:0045893	positive regulation of transcription, DNA-templated	zraR,hcaR,flhD,yqjI,sgrR,iraD,rcsB,arcA,insH-5,baeR,iraM,tdcA,rtcR,ydeO,aaeR,yedW,rbsR,crp,zntR,cueR,norR,atoC,tdcR,iraP,crl,sspA,allS,gadX,cadC,dcuR,sxy,ompR,cspA,flhC,marA,sutR,dmlR,yeiL,qseB,rutR,adiY,rseP,bglJ,rhaS,pspF,prpR,cpxR,asnC,pdhR,malT,glrR,ihfB,bglG,hupA,cdaR,rhaR,creB,hupB,gntR,sfsA,ftsK,yqhC,alpA,argP,nac,xapR,yeiE,fadR,lrhA,ttdR,yidL,rclR,ihfA,appY,feaR,sfsB,hepA,	GO:0071931,GO:0045945,GO:1903109,GO:0060469,GO:0051039,GO:0061435,GO:0032786,GO:0060196,GO:0045991,GO:0061586,GO:1904281,GO:0031936,GO:0048096,GO:2000144,GO:0045897,GO:0090294,GO:0060566,GO:0045895,GO:0045944,GO:0009371,GO:0045943,	GO:0006355,GO:0010628,GO:1903508,
GO:0006631	fatty acid metabolic process	fabA,fadD,fabH,fabF,atoA,fabD,paaF,fadK,fadE,plsB,fadJ,fabG,paaH,fabI,aas,fadR,atoD,accA,accD,fabB,fadI,ahr,atoB,acpH,accC,fadB,acpS,fabR,accB,fadA,acpP,	GO:0033559,GO:0019395,GO:0009106,GO:0000038,GO:0001676,GO:2001132,GO:0019372,GO:0071767,GO:0046459,GO:0051791,GO:0006633,GO:0009062,	GO:0032787,GO:0044255,
GO:0008152	metabolic process	yjiA,malZ,yiiD,tyrA,gabD,edd,dapE,thpR,rihC,gcvR,fepC,dgcN,alsA,yaeI,rbbA,prpB,yidA,trpC,ydfG,yheS,treC,preT,ybhF,ttdB,yagH,proA,sucC,psuG,ydeN,ygbM,alsE,ebgA,nrdE,thiQ,ybhA,metL,maeB,yjfC,yiaK,kdsA,yjhR,waaC,hisC,glmU,btuD,yihG,nudK,cydC,bioC,cysD,bax,ada,ybjS,amn,yjgM,eptA,aphA,allC,higB,ygiQ,frsA,ycjT,recE,deoA,can,paaG,hslV,fabB,bglX,yehL,livF,znuC,caiC,rbsA,entA,ccmA,ribD,tcyN,phoA,oppF,ung,ybiA,folE,artP,yaiS,hcaB,ascB,bdcA,ybhJ,yhbS,nadR,otsB,pyrH,maa,rfaE,purH,yddA,chiA,rsgA,gph,afuC,acnB,pdeC,araG,yfdE,argI,ybjT,ilvA,serB,mrdA,tktA,amyA,yciK,nth,lolD,pdeR,ravA,yigL,scpA,nrdA,lsrA,mnmC,menB,yfbT,xylG,plsC,fabG,nudE,nrdD,gpmM,yqeF,nadK,ygjK,yciA,pphA,yphE,yegX,relA,pyrF,fcl,bglA,yjhH,fliG,fabH,zapE,ycjG,uxuB,ydfI,fabD,speD,melA,ilvH,ydiF,nuoC,inaA,yejF,livG,rsmI,ppc,lacZ,fryC,fadJ,sgbH,yihX,ygeQ,gltL,entF,mrcA,sapF,pstB,acs,tpiA,chbF,fecE,menC,treA,atoA,hflX,astE,ycfT,aslA,ynjE,purU,waaU,bcsZ,chaC,ysgA,nanE,rzpD,rpe,glnD,dppF,mdlA,glgC,rrrQ,hisD,chbA,ssuB,pdeI,trpA,cydD,waaF,mlaF,nei,nanA,ilvD,preA,minD,yigB,cpdA,yehX,nudJ,ghrB,cca,upp,abgA,paaF,ybfF,sucD,pepD,deoB,serA,yniC,yfaW,flgJ,ytjC,mglA,mutY,mgtA,gsiA,phnC,metA,hemB,ftsE,yadG,appA,fic,prpE,nudI,ddpD,paaZ,treF,dgoA,pepT,yhdZ,pphB,dgcM,ybbA,ssnA,rssA,yrfG,leuC,chpB,pspE,sgcQ,pdeB,macB,atoD,yghA,fadI,yfcD,ybiB,fhuC,galK,fadB,pykF,gpmA,gudD,yjjU,astD,gss,argE,eptC,yieE,leuD,trpE,paaJ,entE,ilvM,araA,folD,hdhA,ygfF,thrA,ybiW,ybhH,rihA,patD,mutM,sucA,pdeH,ybhC,waaQ,glnQ,pta,frc,opgE,fumC,adhE,fadA,fadD,fliF,ygiC,glnE,ldhA,fadK,malP,dfp,yccX,nikD,ugpC,rspA,pncA,tauB,hisI,yagF,ytfR,kbl,glgX,lysC,wecB,uup,prkB,cysH,yqaB,potG,ygcW,mngB,caiA,murI,opgB,yahF,arnA,folC,ilvE,fliH,yagE,glpK,acnA,msbA,ynjD,aceE,aes,putA,malK,dppD,yjeF,nudC,cheZ,entB,dapA,nhoA,tdcE,mug,gltB,folM,rrrD,hisB,lhr,yihA,fadE,obgE,pheA,aceF,glgP,ycjV,pabA,fetA,pdxB,mtlD,yieH,yqiA,yicI,waaH,ygeY,dgcC,yheT,typA,pdeF,yegK,yidJ,cof,kdpB,pdeD,gudX,malS,fliJ,ygiF,trpD,potA,eptB,fliM,ychF,nagZ,proV,paaK,nagB,ycgM,sgcE,grcA,srlD,aas,pdeL,cysA,sucB,cpdB,mrcB,dgcP,atoB,lptB,yfcE,yahJ,ansA,fdhD,ilvN,ribF,dxs,kduD,smrA,fabF,yfcH,ppiC,ybiV,uidA,yhbX,ftsY,cobC,pgaC,caiD,yecD,scpB,ftsI,ucpA,yihQ,ybdN,fdrA,ttdA,yegU,ybbO,dgcJ,nikE,ydiO,pflB,sseA,nudF,tdk,yjjG,bioF,gltA,dgcZ,tktB,yjcS,mhpD,argK,yfdH,mdlB,ydbK,idnO,cysK,hisF,fliE,modC,pykA,eutD,dgoD,aidB,yhfW,ffh,dgcT,ulaD,yiiM,yejM,eda,sapD,hisP,yojI,ycjU,ftsZ,pfkA,pflD,cysG,yeiQ,ybiT,aceA,ygeA,coaA,ydcT,pck,ddpF,yedP,rihB,plsB,rutB,oppD,metN,rzpR,fbp,pabC,cheB,menE,bglB,ycaC,yjhG,ybjI,spoT,fliN,yohF,tyrR,tdcB,hisA,flgH,	GO:0042445,GO:0044033,GO:0044710,GO:0010166,GO:1900872,GO:1902421,GO:1901049,GO:0006807,GO:0009058,GO:0044238,GO:0009056,GO:0044237,GO:1901902,GO:0032259,GO:0071704,	GO:0008150,
GO:0008654	phospholipid biosynthetic process	pgsA,fadD,cdh,ygiH,clsA,ynbA,gpsA,psd,plsX,pssA,plsB,ynjF,plsC,clsB,dgkA,yegS,aas,clsC,cdsA,adk,	GO:0045337,GO:0036108,GO:0033384,GO:1901760,GO:0006489,GO:0036104,GO:1905373,GO:0006669,GO:0033521,GO:1901949,GO:0009240,GO:0006686,GO:0009245,GO:0043048,GO:0046474,GO:0050992,GO:0051999,GO:0019347,GO:0033386,	GO:0090407,GO:0006644,GO:0044249,GO:0008610,
