# From ~/gensor_units/perl_scripts/GOs_in_GUs.pl on Fri Sep 30 09:59:04 2016
# Input = ~/gensor_units/datasets/GOs_Pathways_in_GENSORUnits/GOs_table.txt ~/gensor_units/datasets/GOs_Pathways_in_GENSORUnits/TF_genes.txt 
GU	GO ID	Genes in overlap
AccB	GO:0006631	accC,accB,
AccB	GO:0006629	accB,accC,
AccB	GO:0006633	accC,accB,
AccB	GO:2001295	accC,
AccB	GO:0045717	accC,
AcrR	GO:0006351	marA,acrR,soxS,marR,soxR,
AcrR	GO:0006355	marA,acrR,soxS,marR,soxR,
AcrR	GO:0045893	marA,
AcrR	GO:0046677	marA,acrA,marR,marB,
AcrR	GO:0045892	acrR,marA,marR,
AcrR	GO:0006810	acrB,acrA,
AcrR	GO:0055085	acrA,
AcrR	GO:0006855	acrA,acrB,
AcrR	GO:0015721	acrA,
AcrR	GO:0042493	acrB,acrR,
AcrR	GO:0046618	acrB,
AcrR	GO:0006979	soxR,
AcrR	GO:0071236	marR,
AcrR	GO:0009408	marR,
Ada	GO:0055114	alkB,aidB,
Ada	GO:0006281	alkB,ada,alkA,
Ada	GO:0006307	alkB,ada,alkA,
Ada	GO:0006974	ada,alkB,alkA,aidB,
Ada	GO:0080111	alkB,ada,
Ada	GO:0035552	alkB,
Ada	GO:0035553	alkB,
Ada	GO:0042245	alkB,
Ada	GO:0070989	alkB,
Ada	GO:0008152	ada,aidB,
Ada	GO:0045892	aidB,
Ada	GO:0033539	aidB,
Ada	GO:0055088	aidB,
Ada	GO:0006351	ada,
Ada	GO:0006355	ada,
Ada	GO:0032259	ada,
Ada	GO:0006284	alkA,
AdiY	GO:0006810	gadC,
AdiY	GO:0006865	gadC,
AdiY	GO:0051454	gadC,adiA,gadB,gadA,
AdiY	GO:0003333	gadC,
AdiY	GO:0015807	gadC,
AdiY	GO:1902475	gadC,
AdiY	GO:0019752	gadB,gadA,
AdiY	GO:0006536	gadB,gadA,
AdiY	GO:0006351	gadX,
AdiY	GO:0006355	gadX,
AdiY	GO:0045893	gadX,
AdiY	GO:0006974	gadX,
AdiY	GO:0006520	adiA,
AdiY	GO:0006527	adiA,
AdiY	GO:0055114	gltD,gltB,
AdiY	GO:0006537	gltD,gltB,
AdiY	GO:0008652	gltD,gltB,
AdiY	GO:0006807	gltD,gltB,
AdiY	GO:0097054	gltD,gltB,
AdiY	GO:0008152	gltB,
AdiY	GO:0006541	gltB,
AdiY	GO:0019676	gltB,
AgaR	GO:0006810	agaD,agaV,agaB,agaW,agaC,
AgaR	GO:0008643	agaV,agaB,agaW,agaD,agaC,
AgaR	GO:0009401	agaV,agaD,agaB,agaC,agaW,
AgaR	GO:0005975	agaA,agaI,kbaY,agaS,kbaZ,
AgaR	GO:0046101	agaA,
AgaR	GO:0006146	agaA,
AgaR	GO:0019402	kbaZ,
AgaR	GO:2001059	kbaY,kbaZ,
AgaR	GO:0016310	agaB,agaV,
AgaR	GO:0034219	agaV,agaB,
AgaR	GO:0006044	agaI,
AgaR	GO:0006351	agaR,
AgaR	GO:0006355	agaR,
AidB	GO:0008152	aidB,
AidB	GO:0055114	aidB,
AidB	GO:0045892	aidB,
AidB	GO:0006974	aidB,
AidB	GO:0033539	aidB,
AidB	GO:0055088	aidB,
AlaS	GO:0045892	alaS,
AlaS	GO:0006412	alaS,
AlaS	GO:0006400	alaS,
AlaS	GO:0006419	alaS,
AlaS	GO:0006450	alaS,
AlaS	GO:0043039	alaS,
AllR	GO:0009436	glxK,gcl,glxR,
AllR	GO:0046296	glxK,gcl,glxR,
AllR	GO:0006810	ybbY,ybbW,
AllR	GO:0055085	ybbY,ybbW,
AllR	GO:0046487	hyi,glxR,
AllR	GO:0055114	glxR,
AllR	GO:0006974	glxR,
AllR	GO:0009442	allB,glxR,
AllR	GO:0006351	allS,
AllR	GO:0006355	allS,
AllR	GO:0045893	allS,
AllR	GO:0016310	glxK,
AllR	GO:0031388	glxK,
AllR	GO:0000256	allB,allA,
AllR	GO:0006144	allB,ybbW,allA,
AllR	GO:0015720	ybbW,
AllR	GO:0015851	ybbW,
AllR	GO:0006145	allA,
AllS	GO:0006144	allC,allE,allD,
AllS	GO:0008152	allC,
AllS	GO:0000256	allC,allD,
AllS	GO:0009442	allC,allD,
AllS	GO:0055114	allD,
AlsR	GO:0006810	alsB,alsC,alsA,
AlsR	GO:0008643	alsA,alsC,alsB,
AlsR	GO:0015749	alsB,alsC,
AlsR	GO:0006351	rpiR,
AlsR	GO:0006355	rpiR,
AlsR	GO:0045892	rpiR,
AlsR	GO:0005975	alsE,rpiR,rpiB,
AlsR	GO:0008152	alsA,alsE,
AlsR	GO:0009052	alsE,
AlsR	GO:0019316	alsE,rpiB,
AlsR	GO:0019323	alsE,
AlsR	GO:0044262	alsE,
AlsR	GO:0006098	rpiB,
AlsR	GO:0042882	alsA,
AppY	GO:0006508	hyaD,
AppY	GO:0006464	hyaD,
AppY	GO:0016485	hyaD,
AppY	GO:0043085	hyaD,
AppY	GO:0055114	hyaA,hyaC,appC,appB,hyaB,
AppY	GO:0009061	hyaC,hyaA,hyaB,
AppY	GO:0006113	hyaA,hyaC,hyaB,
AppY	GO:0006119	appC,appB,
AppY	GO:0019646	appB,appC,
AppY	GO:0006810	hyaC,
AppY	GO:0022904	hyaC,
AppY	GO:0008152	appA,
AppY	GO:0016311	appA,
AppY	GO:0016036	appA,
AppY	GO:0071454	appA,
AraC	GO:0005975	araC,araA,xylA,araD,xylB,araB,
AraC	GO:0019568	araD,araC,araB,araA,
AraC	GO:0019569	araD,araB,araA,
AraC	GO:0019572	araD,araB,
AraC	GO:0019324	araD,
AraC	GO:0016310	xylB,araB,
AraC	GO:0046835	xylB,araB,
AraC	GO:0042732	xylB,xylA,
AraC	GO:0042843	xylB,xylA,
AraC	GO:0005997	xylB,
AraC	GO:0005998	xylB,
AraC	GO:0006810	araH,araG,araF,araE,
AraC	GO:0055085	araE,araJ,
AraC	GO:0015992	araE,
AraC	GO:0008643	araE,araH,araG,araF,
AraC	GO:0042882	araG,araE,araF,
AraC	GO:0015756	araE,
AraC	GO:0016052	araB,
AraC	GO:0015751	araH,
AraC	GO:0008152	ydeN,araG,araA,ygeA,
AraC	GO:0006520	ygeA,
AraC	GO:0009252	ygeA,
AraC	GO:0006807	ygeA,
AraC	GO:0006351	araC,
AraC	GO:0006355	araC,
AraC	GO:0006098	xylA,
AraC	GO:0055114	ydeM,
AraC	GO:0006974	ydeM,
AraC	GO:0051604	ydeM,
AraC	GO:0005996	araA,
AraC	GO:0015749	araF,
ArgP	GO:0006281	recF,
ArgP	GO:0006974	dnaN,recF,
ArgP	GO:0009432	recF,
ArgP	GO:0006260	nrdB,nrdA,recF,dnaA,dnaN,
ArgP	GO:0000731	recF,
ArgP	GO:0006302	recF,
ArgP	GO:0009411	recF,
ArgP	GO:0008652	lysA,lysC,dapD,dapB,
ArgP	GO:0009085	lysA,lysC,dapD,dapB,
ArgP	GO:0009089	lysA,lysC,dapD,dapB,
ArgP	GO:0006810	argO,lysP,
ArgP	GO:0006865	argO,lysP,
ArgP	GO:1903826	argO,
ArgP	GO:1902023	argO,
ArgP	GO:0055114	yfaE,nrdA,gdhA,dapB,nrdB,
ArgP	GO:0006124	yfaE,
ArgP	GO:0006351	dnaA,argP,
ArgP	GO:0006355	dnaA,argP,
ArgP	GO:0008156	dnaA,
ArgP	GO:0006270	dnaA,
ArgP	GO:0006275	dnaA,
ArgP	GO:0006520	gdhA,
ArgP	GO:0006537	gdhA,
ArgP	GO:0090305	dnaN,
ArgP	GO:0006271	dnaN,
ArgP	GO:0071897	dnaN,
ArgP	GO:0008152	nrdA,lysC,
ArgP	GO:0016310	lysC,
ArgP	GO:0009090	lysC,
ArgP	GO:0055085	lysP,
ArgP	GO:0003333	lysP,
ArgP	GO:0015807	lysP,
ArgP	GO:1902475	lysP,
ArgP	GO:0051260	lysP,
ArgP	GO:1902022	lysP,
ArgP	GO:0019877	dapD,dapB,
ArgP	GO:0015949	nrdA,nrdB,
ArgP	GO:0009263	nrdB,nrdA,
ArgP	GO:0009186	nrdB,
ArgP	GO:0045893	argP,
ArgP	GO:0045892	argP,
ArgP	GO:0032297	argP,
ArgR	GO:0008152	artP,argI,astE,astD,argE,gltB,hisP,
ArgR	GO:0055114	argC,gltD,astD,gltB,
ArgR	GO:0006527	astD,astB,astC,astA,
ArgR	GO:0006525	astD,astB,astC,astE,argD,argR,astA,
ArgR	GO:0019544	astE,astD,astB,astC,astA,
ArgR	GO:0019545	astE,astD,astB,astC,astA,
ArgR	GO:0006526	argH,argG,argC,argE,argA,argD,carB,carA,argR,argI,argF,argB,
ArgR	GO:0008652	argE,argD,argR,argB,argC,argF,argG,argH,gltD,carA,carB,argI,gltB,argA,
