#From ~/gensor_units/Perl_scripts/get_GU_pathways.pl on Mon Jun 12 17:27:56 2017 using: ~/gensor_units/datasets/GOs_Pathways_in_GENSORUnits/genes_in_GUs.txt
# [1] > GU name
# [2] > Total pathways
# [3] > Regulon size
# [4] > Genes without pathway
# [5] > Individual pathways (number of ocurrences)
GU name	Total pathways	Regulon size	Genes without pathway	Individual pathways (number of ocurrences)
AccB	2	3	1	PWY0-1264(2)//PWY-4381(2)//
AcrR	0	10	10	
Ada	0	5	5	
AdiY	5	9	4	PWY0-1305(2)//PWY0-1299(1)//GLUTAMINDEG-PWY(2)//GLUTSYN-PWY(2)//PWY0-823(1)//
AgaR	1	12	10	GALACTITOLCAT-PWY(2)//
AidB	0	2	2	
AlaS	1	2	1	TRNA-CHARGING-PWY(1)//
AllR	6	10	5	PWY-5705(1)//PWY-5698(1)//GALACTARDEG-PWY(1)//PWY0-1300(1)//GLYCOLATEMET-PWY(3)//GLUCARDEG-PWY(1)//
AllS	2	4	1	PWY-5698(2)//PWY0-41(1)//
AlsR	2	7	5	NONOXIPENT-PWY(1)//PWY0-44(2)//
AppY	2	11	8	PWY0-1577(3)//PWY0-1578(3)//
AraC	3	15	10	XYLCAT-PWY(2)//ARABCAT-PWY(3)//LYXMET-PWY(1)//
ArgP	7	15	8	DAPLYSINESYN-PWY(4)//PWY0-166(2)//PWY-7220(2)//PWY-7184(2)//PWY-7222(2)//HOMOSERSYN-PWY(1)//GLUTSYNIII-PWY(1)//
ArgR	9	39	19	DAPLYSINESYN-PWY(1)//GLUTSYN-PWY(2)//ARGSYN-PWY(6)//TRNA-CHARGING-PWY(1)//AST-PWY(5)//GLUTAMINDEG-PWY(4)//PWY0-1479(2)//PWY-5686(2)//GLUTORN-PWY(5)//
ArsR	1	4	3	PWY-4621(1)//
AscG	0	6	6	
AsnC	1	5	4	ASPARAGINESYN-PWY(1)//
AtoC	1	5	2	ACETOACETATE-DEG-PWY(3)//
BaeR	1	9	7	PWY0-1481(2)//
BasR	3	14	11	PWY0-1470(2)//PWY0-1544(1)//PROUT-PWY-I(1)//
BetI	1	5	3	BETSYN-PWY(2)//
BirA	2	6	1	PWY0-1507(3)//PWY-6519(2)//
BluR	0	5	5	
BolA	1	3	2	PWY0-1586(1)//
CadC	2	4	3	PWY0-461(1)//PWY0-1303(1)//
CaiF	1	11	7	CARNMET-PWY(4)//
Cbl	2	10	7	ALKANEMONOX-PWY(2)//PWY0-981(1)//
CdaR	5	11	5	PWY0-1479(1)//PWY0-1300(1)//GALACTARDEG-PWY(4)//GLYCOLATEMET-PWY(1)//GLUCARDEG-PWY(4)//
ChbR	1	7	5	PWY0-1309(2)//
ComR	0	2	2	
CpxR	16	69	56	PWY0-1481(2)//PWY-5785(1)//PWY0-1518(1)//PWY0-1485(2)//PWY0-862(1)//PWY-6282(1)//PWY0-1519(1)//PWY-5669(1)//PWY-6519(1)//PWY-5971(1)//FASYN-ELONG-PWY(1)//NAGLIPASYN-PWY(2)//:error(1)//PWY-6164(1)//PWY0-1586(1)//PWY-5973(1)//
Cra	42	80	37	PWY0-42(5)//PYRUVDEHYD-PWY(3)//GLUCONEO-PWY(9)//PWY-5084(1)//TCA(4)//GLYCOLYSIS-E-D(1)//PWY-7545(3)//PWY-7180(1)//PWY-7242(1)//PWY0-1353(2)//PWY0-1334(2)//PWY0-1568(2)//PWY0-1517(2)//1CMET2-PWY(1)//ETOH-ACETYLCOA-ANA-PWY(1)//TREDEGLOW-PWY(1)//PWY-5484(10)//PWY-7544(5)//BETSYN-PWY(2)//ENTNER-DOUDOROFF-PWY(2)//PWY0-1261(1)//PWY-5194(1)//GALACTUROCAT-PWY(1)//PWY0-1182(1)//PWY0-1561(4)//GLUCOSE1PMETAB-PWY(1)//PWY0-1335(4)//OXIDATIVEPENT-PWY(1)//PWY0-1567(4)//PWY0-1329(4)//PWY-5436(1)//FERMENTATION-PWY(5)//GLYCLEAV-PWY(1)//PWY0-1544(4)//PWY0-1314(1)//PYRIDOXSYN-PWY(1)//MANNIDEG-PWY(1)//GLYCOLYSIS-TCA-GLYOX-BYPASS(3)//GLYCOCAT-PWY(1)//GLYOXYLATE-BYPASS(4)//GLYCOLYSIS(10)//PWY0-1565(4)//
CreB	1	6	5	NONOXIPENT-PWY(1)//
CsgD	1	29	28	PWY0-1546(1)//
CsiR	2	6	4	GLUTORN-PWY(1)//PWY-6537(2)//
CspA	0	3	3	
CueR	1	8	5	PWY-6823(3)//
CusR	8	13	7	PWY0-1335(4)//PWY-7544(4)//PWY0-1567(4)//PWY0-1329(4)//PWY0-1544(4)//PWY0-1512(2)//PWY0-1561(4)//PWY0-1565(4)//
CynR	1	5	3	CYANCAT-PWY(2)//
CysB	6	31	20	SO4ASSIM-PWY(3)//ALKANEMONOX-PWY(2)//LCYSDEG-PWY(2)//PWY0-981(1)//CYSTSYN-PWY(2)//PWY-5340(3)//
CytR	15	14	8	PWY-6556(1)//PWY0-1296(2)//PWY-7179(1)//PWY-6609(1)//PWY0-661(1)//PWY-7180(2)//SALVADEHYPOX-PWY(1)//PWY-6611(1)//PWY-7181(2)//PWY0-181(2)//PWY-6608(1)//PWY0-163(2)//PWY-7193(1)//PWY-6620(1)//PWY0-1295(3)//
Dan	0	5	5	
DcuR	6	10	3	TCA(1)//PWY0-1576(4)//PWY0-1582(4)//PWY0-1336(4)//FERMENTATION-PWY(5)//PWY0-1499(2)//
DeoR	12	7	3	PWY0-1296(2)//PWY0-661(1)//PWY-7180(2)//PWY-7179(1)//PWY-6609(1)//SALVADEHYPOX-PWY(1)//PWY-6611(1)//PWY-7181(1)//PWY0-181(1)//PWY-6608(1)//PWY0-1295(1)//PWY-6620(1)//
DhaR	1	5	2	GLYCEROLMETAB-PWY(3)//
DicA	0	9	9	
DinJ-YafQ	0	4	4	
DnaA	9	13	8	PWY-7221(2)//PWY0-166(2)//PWY0-1280(1)//PWY-7222(2)//GLUTAMINDEG-PWY(1)//PWY-7184(2)//PWY-7220(2)//DARABCATK12-PWY(1)//PWY0-1317(1)//
DpiA	7	12	3	PWY-6038(3)//TCA(1)//GLUCONEO-PWY(1)//FERMENTATION-PWY(1)//P2-PWY(6)//GLYOXYLATE-BYPASS(1)//PWY0-1499(2)//
DsdC	1	4	3	PWY0-1535(1)//
EbgR	0	3	3	
EnvR	0	3	3	
EnvY	0	3	3	
EvgA	2	19	16	PWY0-1490(2)//:error(1)//
ExuR	3	9	4	PWY-7247(1)//GALACTUROCAT-PWY(3)//PWY-7242(2)//
FabR	8	3	1	FASYN-INITIAL-PWY(1)//PWY-5971(1)//PWY-6519(1)//FASYN-ELONG-PWY(2)//PWY0-862(2)//PWY-5965(1)//PWY-5966(1)//PWY-6282(1)//
FadR	13	24	7	PWY0-1264(4)//FASYN-INITIAL-PWY(2)//PWY-5971(3)//PWY-6519(3)//PWY0-1337(2)//FASYN-ELONG-PWY(4)//FAO-PWY(6)//PWY0-862(4)//PWY-5965(1)//PWY-4381(6)//PWY-5966(2)//PWY-5973(2)//PWY-6282(3)//
FeaR	2	3	1	2PHENDEG-PWY(2)//THRDLCTCAT-PWY(1)//
FhlA	1	31	24	FERMENTATION-PWY(7)//
FlhDC	10	81	68	PWY0-1581(3)//GLUCONEO-PWY(1)//PWY0-1584(5)//FERMENTATION-PWY(1)//TCA(1)//PWY-6952(3)//PWY0-1582(3)//GLYOXYLATE-BYPASS(1)//PWY0-1585(4)//PWY-4261(3)//
FliZ	1	21	20	PWY0-1305(1)//
FucR	4	8	3	PWY0-1280(1)//FUCCAT-PWY(4)//PWY0-1315(1)//DARABCATK12-PWY(3)//
Fur	65	131	87	HOMOSER-METSYN-PWY(1)//PWY-7220(3)//PWY-6282(1)//NRI-PWY(2)//GLUCARDEG-PWY(3)//PWY0-1353(4)//PWY-6519(1)//PWY-4381(1)//PWY-7222(3)//FASYN-INITIAL-PWY(1)//PWY-4621(1)//PWY0-1479(1)//GLUTAMINDEG-PWY(2)//GLYCOLATEMET-PWY(1)//PWY-5686(1)//ASPARTATESYN-PWY(1)//OXIDATIVEPENT-PWY(2)//DETOX1-PWY(3)//PWY0-1329(8)//GLYCLEAV-PWY(1)//PWY0-1544(4)//FASYN-ELONG-PWY(1)//NAGLIPASYN-PWY(1)//PWY-5965(1)//GLYCOLYSIS-TCA-GLYOX-BYPASS(1)//PWY-5973(1)//GLUTDEG-PWY(1)//GLYCOLYSIS(1)//PWY0-1565(4)//PWY-6892(1)//PWY0-166(3)//KDO-NAGLIPASYN-PWY(1)//PYRUVDEHYD-PWY(1)//PWY-6151(1)//PWY-5084(3)//TCA(11)//PWY0-1319(1)//PWY0-1534(1)//PWY0-862(1)//PWY-5966(1)//GLYCOLYSIS-E-D(1)//PWY-5901(3)//PWY0-1021(1)//PWY-6012(1)//PWY-5971(1)//PWY0-1568(1)//1CMET2-PWY(2)//PWY-5484(1)//ENTBACSYN-PWY(4)//PWY0-1573(1)//PWY-7544(4)//GLUTSYN-PWY(2)//PWY-6823(1)//PWY0-1561(4)//PWY0-501(1)//PWY0-1335(4)//GLUT-REDOX-PWY(1)//PWY0-1567(5)//PWY0-1300(1)//PHESYN(1)//FERMENTATION-PWY(2)//TYRSYN(1)//GALACTARDEG-PWY(3)//KDO-LIPASYN-PWY(1)//GLUTSYNIII-PWY(1)//
GadE	20	29	16	PWY-7544(4)//PWY0-1493(1)//GLUTSYN-PWY(2)//PWY-7219(1)//GLUTAMINDEG-PWY(2)//PWY0-862(1)//PWY0-1561(4)//PWY-6282(1)//PWY0-1335(4)//PWY0-1305(1)//OXIDATIVEPENT-PWY(1)//PWY0-1567(4)//PWY0-1329(4)//PWY-5971(1)//PWY0-1544(4)//PWY-6519(1)//FASYN-ELONG-PWY(1)//NAGLIPASYN-PWY(2)//PWY-5973(1)//PWY0-1565(4)//
GadE-RcsB	3	10	8	PWY0-1305(1)//PWY0-461(1)//PWY0-1303(1)//
GadW	1	15	13	PWY0-1305(2)//
GadX	8	29	22	PWY0-461(1)//PWY0-1305(2)//NRI-PWY(1)//PWY-6387(1)//ASPARAGINE-BIOSYNTHESIS(1)//GLUTAMINDEG-PWY(2)//ASPARAGINESYN-PWY(1)//PWY0-1303(1)//
GalR	3	11	7	GALACTMETAB-PWY(4)//PWY-7344(1)//COLANSYN-PWY(1)//
GalS	3	11	7	GALACTMETAB-PWY(4)//PWY-7344(1)//COLANSYN-PWY(1)//
GatR	1	7	4	GALACTITOLCAT-PWY(3)//
GcvA	2	6	3	1CMET2-PWY(3)//GLYCLEAV-PWY(3)//
GlcC	2	8	4	GLYCOLATEMET-PWY(3)//GLYOXDEG-PWY(4)//
GlpR	9	10	3	PWY0-1581(3)//PWY0-1584(1)//GLUCONEO-PWY(1)//PWY-6952(5)//PWY0-1582(3)//PWY0-1561(1)//PWY-5484(1)//PWY-4261(5)//GLYCOLYSIS(1)//
GlrR	0	2	2	
