#From get_metadata.pl on Sat Jun 25 12:01:02 2016 using:
# ~/datasets/results/
# ~/datasets/input_files/Transcription_Factors.txt
GU	Total Enzymes	Enzymes with connectivity	Components	Connectivity	Total Catalysis reactions	Secondary reactions	Feedback
AccB	2	0	1	0.00	2	0	0
AcrR	2	0	2	0.00	2	0	0
Ada	4	0	4	0.00	7	0	1
AdiY	4	3	1	0.75	3	0	0
AgaR	1	0	1	0.00	1	0	0
AidB	1	0	1	0.00	1	0	0
AlaS	1	0	1	0.00	1	0	1
AllR	6	6	1	1.00	6	1	1
AllS	3	3	1	1.00	3	1	0
AlsR	3	3	3	0.60	4	0	1
AppY	2	0	3	0.00	3	0	0
AraC	7	7	2	0.88	7	0	1
ArgP	11	8	7	0.47	17	2	1
ArgR	23	18	6	0.64	24	0	1
ArsR	2	2	1	1.00	2	0	1
AscG	2	2	1	1.00	5	0	0
AsnC	3	2	2	0.50	5	0	1
AtoC	3	3	1	1.00	3	0	0
BaeR	2	0	1	0.00	1	0	0
BasR	3	1	3	0.20	4	1	0
BetI	3	3	1	1.00	3	0	1
BirA	5	5	1	1.00	6	1	0
BluR	0	0	0	-0.00	0	0	0
BolA	2	0	2	0.00	2	0	0
CadC	2	2	1	1.00	3	0	0
CaiF	5	5	1	1.00	5	0	0
Cbl	5	4	2	0.67	8	0	0
CdaR	9	7	2	0.70	12	0	0
ChbR	3	3	1	1.00	6	0	1
ComR	0	0	0	-0.00	0	0	0
CpxR	25	7	35	0.12	52	13	1
Cra	62	53	18	0.67	105	6	1
CreB	3	2	4	0.33	6	0	0
CsgD	5	0	9	0.00	10	0	0
CsiR	4	4	1	1.00	5	0	0
CspA	1	0	1	0.00	1	0	0
CueR	4	3	2	0.60	6	0	1
CusR	3	0	4	0.00	4	0	1
CynR	3	3	1	1.00	3	1	1
CysB	17	12	14	0.40	27	0	1
CytR	12	8	5	0.50	29	2	1
Dan	2	2	1	1.00	2	0	0
DcuR	4	4	3	0.67	13	0	0
DeoR	8	4	7	0.29	25	2	1
DhaR	1	0	1	0.00	1	0	0
DicA	0	0	0	-0.00	0	0	0
DinJ-YafQ	1	0	1	0.00	1	0	0
DnaA	6	4	5	0.40	15	1	0
DpiA	5	3	4	0.38	6	0	1
DsdC	2	1	1	0.50	2	0	1
EbgR	0	0	0	-0.00	0	0	0
EnvR	2	0	2	0.00	2	0	0
EnvY	2	0	16	0.00	16	0	0
EvgA	6	3	2	0.43	4	0	0
ExuR	6	5	3	0.62	8	0	0
FabR	2	2	1	1.00	23	17	0
FadR	19	17	3	0.81	73	6	1
FeaR	2	2	1	1.00	5	0	0
FhlA	7	5	4	0.50	10	0	1
