1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis
2PHENDEG-PWY	phenylethylamine degradation I
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)
ALADEG-PWY	L-alanine degradation I
ALANINE-SYN2-PWY	L-alanine biosynthesis II
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase
AMMASSIM-PWY	ammonia assimilation cycle III
ARABCAT-PWY	L-arabinose degradation I
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)
ARO-PWY	chorismate biosynthesis I
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I
ASPARAGINE-DEG1-PWY	L-asparagine degradation I
ASPARAGINESYN-PWY	L-asparagine biosynthesis II
ASPARTATESYN-PWY	L-aspartate biosynthesis
AST-PWY	L-arginine degradation II (AST pathway)
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)
BGALACT-PWY	lactose degradation III
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
CARNMET-PWY	L-carnitine degradation I
COA-PWY	coenzyme A biosynthesis I
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I
COLANSYN-PWY	colanic acid building blocks biosynthesis
CYANCAT-PWY	cyanate degradation
CYSTSYN-PWY	L-cysteine biosynthesis I
DAPLYSINESYN-PWY	L-lysine biosynthesis I
DARABCATK12-PWY	D-arabinose degradation I
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I
ECASYN-PWY	enterobacterial common antigen biosynthesis
ENTBACSYN-PWY	enterobactin biosynthesis
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I
FAO-PWY	fatty acid beta-oxidation I
FASYN-ELONG-PWY	fatty acid elongation -- saturated
FERMENTATION-PWY	mixed acid fermentation
FUCCAT-PWY	fucose degradation
GALACTARDEG-PWY	D-galactarate degradation I
GALACTCAT-PWY	D-galactonate degradation
GALACTITOLCAT-PWY	galactitol degradation
GALACTMETAB-PWY	galactose degradation I (Leloir pathway)
GALACTUROCAT-PWY	D-galacturonate degradation I
GLNSYN-PWY	L-glutamine biosynthesis I
GLUAMCAT-PWY	N-acetylglucosamine degradation I
GLUCARDEG-PWY	D-glucarate degradation I
GLUCONEO-PWY	gluconeogenesis I
GLUCONSUPER-PWY	D-gluconate degradation
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions
GLUTAMINDEG-PWY	L-glutamine degradation I
GLUTATHIONESYN-PWY	glutathione biosynthesis
GLUTDEG-PWY	L-glutamate degradation II
